"Олег";"Анатольевич";"Ситников";"ИП «Смирнова-Пахомова»";"82283711044";"+7 (584) 162-2309"
"Мирослав";"Алексеевич";"Большаков";"ИП «Жуков Сазонов»";"+7 (405) 970-8792";"+7 913 485 8383"
"Агап";"Владиленович";"Марков";"РАО «Яковлева»";"80849994341";"+7 (552) 612-61-88"
"Аскольд";"Бориславович";"Соловьев";"РАО «Федосеев, Туров и Макаров»";"8 511 725 9329";"+7 (447) 084-7958"
"Феофан";"Измаилович";"Романов";"АО «Кудрявцева»";"+7 520 817 1322";"+70430133244"
"Борислав";"Валентинович";"Савельев";"Щербаков Лимитед";"8 507 167 3663";"8 (657) 632-23-02"
"Чеслав";"Жоресович";"Ковалев";"ОАО «Трофимова, Кулакова и Мясников»";"+7 (228) 275-8110";"+79664929349"
"Алексей";"Трифонович";"Рогов";"Петров Лтд";"+7 866 540 76 31";"81000388840"
"Флорентин";"Ермолаевич";"Коновалов";"АО «Кудряшова Исаев»";"+7 (625) 830-73-89";"+7 930 049 08 95"
"Добромысл";"Георгиевич";"Воробьев";"ООО «Самсонов, Белозеров и Герасимов»";"8 (119) 690-33-85";"+7 680 044 53 70"
"Сила";"Феодосьевич";"Кузнецов";"ООО «Ковалев-Денисова»";"+7 014 060 7974";"+7 (813) 521-6818"
"Аким";"Ерофеевич";"Тимофеев";"ИП «Ермакова, Исаева и Комиссарова»";"+7 (274) 978-5584";"+77982675097"
"Святополк";"Ааронович";"Силин";"ОАО «Горшкова»";"+7 (672) 575-49-35";"+7 918 972 7291"
"Будимир";"Игоревич";"Воронов";"ИП «Молчанов»";"+7 (260) 498-76-45";"8 (678) 555-66-11"
"Добромысл";"Ярославович";"Архипов";"Первый завод";"8 925 925 09 33";"8 058 043 97 76"
"Кузьма";"Аксёнович";"Фомин";"Кудряшова и партнеры";"+7 412 383 5118";"+71160773495"
"Трофим";"Теймуразович";"Гуляев";"ООО «Зыков, Дьячкова и Белов»";"8 (303) 716-7567";"8 083 549 62 70"
"Ратмир";"Филиппович";"Копылов";"Якушева Инк";"+72630521639";"+73625131916"
"Порфирий";"Ефремович";"Титов";"ОАО «Филиппов-Логинова»";"84500653059";"8 017 893 5103"
"Тихон";"Ермилович";"Шарапов";"Первый канал";"81997063338";"8 (518) 546-03-27"
"Назар";"Владиленович";"Потапов";"ОАО «Трофимов-Сорокин»";"8 136 824 45 63";"+7 715 997 2876"
"Ермил";"Тимурович";"Медведев";"Лаврентьев и партнеры";"+75946399870";"+7 806 178 36 96"
"Архип";"Филимонович";"Трофимов";"ИП «Денисов-Голубев»";"8 (466) 162-9332";"+7 (221) 468-22-56"
"Валерьян";"Венедиктович";"Ковалев";"ИП «Силина, Хохлова и Кузнецова»";"+7 (591) 840-2665";"+7 456 264 10 76"
"Михей";"Феликсович";"Трофимов";"ЗАО «Мухин»";"+78185650050";"8 (280) 140-7781"
"Будимир";"Жанович";"Крюков";"АО «Панов»";"82543411780";"8 772 836 98 86"
"Клавдий";"Яковлевич";"Алексеев";"ЗАО «Прохорова, Селиверстов и Нестеров»";"+7 577 556 7461";"8 658 482 42 08"
"Карл";"Анатольевич";"Костин";"ОАО «Зиновьева-Шашков»";"+7 (258) 531-46-85";"8 (108) 869-52-30"
"Матвей";"Валентинович";"Горшков";"Первая тяжеловесная компания";"8 550 247 58 35";"8 149 450 81 51"
"Ладимир";"Брониславович";"Шаров";"ОАО «Виноградов»";"+70095296427";"+7 096 089 48 27"
"Велимир";"Гордеевич";"Никонов";"АО «Кузнецов»";"8 362 333 2173";"+7 (788) 635-4018"
"Ермолай";"Фадеевич";"Копылов";"ИП «Вишняков Субботин»";"+7 167 064 99 74";"8 (015) 703-4839"
"Яков";"Абрамович";"Пахомов";"ЗАО «Якушева, Казаков и Кондратьева»";"+7 516 394 3913";"8 (703) 392-09-84"
"Константин";"Игоревич";"Савельев";"НПО «Семенова-Зуев»";"+7 833 893 8020";"+7 361 918 35 95"
"Вячеслав";"Антипович";"Кошелев";"ООО «Маслов Федосеева»";"+7 415 021 50 10";"+7 (947) 032-43-79"
"Наркис";"Алексеевич";"Филиппов";"РАО «Суханова»";"+7 921 224 36 17";"+7 (953) 955-23-69"
"Епифан";"Васильевич";"Суханов";"АО «Орлова Савина»";"8 859 182 4432";"+71450604630"
"Тихон";"Афанасьевич";"Голубев";"ТК Шлюмберже (Schlumberger)";"+7 (225) 909-6172";"8 958 864 5758"
"Спартак";"Зиновьевич";"Лукин";"НЗНП";"+7 (509) 997-4558";"8 (614) 724-11-39"
"Вениамин";"Федосеевич";"Воробьев";"ИП «Белов, Терентьев и Костина»";"+7 414 813 6582";"+7 (991) 674-1457"
"Петр";"Авдеевич";"Архипов";"НПО «Фокина Виноградова»";"+7 195 100 9616";"+7 023 914 8322"
"Изот";"Анисимович";"Мухин";"ЗАО «Ковалева Колобов»";"+78639973067";"+7 949 935 98 49"
"Евлампий";"Денисович";"Лебедев";"ООО «Колобов, Орехова и Ларионова»";"8 (232) 018-8060";"+7 (498) 369-2565"
"Савва";"Витальевич";"Петухов";"ГК 1520";"+7 102 838 62 95";"+7 (850) 279-1987"
"Феликс";"Васильевич";"Власов";"ООО «Михеева Дмитриев»";"8 (342) 505-53-19";"+7 (258) 068-2368"
"Ферапонт";"Игнатович";"Шарапов";"АО «Туров Филиппова»";"8 (641) 239-10-18";"8 (458) 914-1570"
"Александр";"Фокич";"Михайлов";"АСР-Углесбыт";"85829162181";"8 010 267 0762"
"Серафим";"Трофимович";"Громов";"РАО «Харитонова»";"+77009761287";"+7 981 572 8086"
"Наркис";"Геннадиевич";"Евсеев";"НПО «Комиссарова»";"8 (333) 470-69-29";"+7 814 847 24 45"
"Станислав";"Филимонович";"Елисеев";"ИП «Игнатьева-Ермакова»";"+70859846775";"+7 (950) 961-4745"
"Фортунат";"Трофимович";"Трофимов";"ООО «Романов Ефремова»";"8 852 432 5599";"+7 957 863 5236"
"Селиван";"Иосипович";"Беляков";"Антонов Инк";"8 (408) 225-68-22";"8 066 076 24 13"
"Фадей";"Егорович";"Ильин";"ЗАО «Жукова-Агафонова»";"+7 311 949 0686";"+7 (817) 832-2177"
"Аполлинарий";"Харлампович";"Андреев";"Восточный экспресс банк";"8 208 378 32 73";"86208809364"
"Бажен";"Юльевич";"Селиверстов";"РАО «Александров, Родионов и Петрова»";"8 099 890 7163";"+7 120 508 5474"
"Модест";"Ефимович";"Мартынов";"ЗАО «Лапина»";"84688072838";"+7 351 200 3974"
"Якуб";"Арсенович";"Лапин";"ООО «Кузнецова-Селезнева»";"+77493485003";"8 (626) 252-09-39"
"Игорь";"Эдгардович";"Харитонов";"ЗАО «Владимирова»";"+7 152 619 87 72";"8 (232) 282-2225"
"Ипат";"Валерьевич";"Гаврилов";"Пономарев Лимитед";"8 (425) 537-3955";"8 (566) 640-2013"
"Феликс";"Ефимьевич";"Жданов";"Иркутская нефтяная компания";"+78628116836";"8 (148) 692-72-14"
"Ипатий";"Валерьянович";"Якушев";"АО «Русакова, Воробьева и Савина»";"+7 (766) 776-9552";"8 (356) 090-78-56"
"Андрон";"Дмитриевич";"Бирюков";"Елисеева Лимитед";"+72187444457";"+76170642136"
"Ерофей";"Измаилович";"Савельев";"ООО «Соловьева-Селиверстова»";"+7 438 449 9028";"8 774 176 6003"
"Ладимир";"Данилович";"Фролов";"Артемьев и партнеры";"+7 180 741 5691";"86001510088"
"Сигизмунд";"Григорьевич";"Панфилов";"ООО «Казакова-Дроздов»";"8 (933) 192-40-22";"+7 974 627 4524"
